screen_time_hours,work_hours,sleep_hours,break_frequency,typing_speed_wpm,backspace_rate,pause_frequency,app_switch_rate,usage_type,focus_session_count,hydration_level,physical_activity,cognitive_load_score,burnout_level
7.24,6.94,7.39,4,54.8,11.69,4.47,19.34,0,4,1,36.5,17.6,0
6.08,4.11,3.84,2,104.5,7.62,3.46,30.3,0,1,4,113.1,3.2,1
2.22,1.28,4.45,6,88.1,1.48,5.88,14.36,1,5,2,68.1,0.0,0
14.97,9.0,4.96,6,82.1,15.12,13.52,28.57,1,8,4,72.8,26.1,2
4.31,1.05,5.54,0,43.2,10.71,6.8,21.04,0,4,2,43.0,25.4,0
2.89,1.59,4.95,2,46.3,10.72,1.48,26.27,1,6,3,62.7,10.6,1
3.51,1.08,6.82,3,83.2,2.64,0.0,21.52,1,6,3,83.4,0.0,0
6.14,1.54,5.74,3,68.6,6.76,3.09,13.29,2,3,5,103.3,1.0,1
7.84,2.52,3.72,7,65.1,9.62,5.33,24.4,2,3,4,30.2,12.4,1
5.99,1.18,6.66,1,48.2,2.29,5.17,35.8,1,5,4,9.7,10.5,0
13.24,6.17,8.9,5,28.5,15.31,10.77,26.99,1,2,2,61.5,33.0,1
4.44,3.38,5.32,1,76.4,9.93,10.43,28.17,2,6,4,21.0,22.6,1
5.65,5.63,8.79,4,71.8,2.54,7.06,27.38,2,7,1,77.0,12.5,0
2.13,1.11,6.98,1,78.2,11.36,6.34,7.36,0,0,5,21.5,5.5,0
12.09,4.39,6.26,10,48.1,10.09,8.74,19.3,0,0,4,80.3,24.7,1
8.99,5.57,7.61,0,65.3,8.1,7.29,9.45,2,2,4,102.4,5.3,1
13.92,4.49,4.02,8,78.0,7.64,1.23,8.99,0,1,2,88.9,0.0,1
7.03,2.77,7.86,2,68.7,10.5,4.14,9.5,0,2,4,69.5,3.5,1
6.59,1.87,8.89,5,36.2,6.96,9.04,21.03,1,4,4,101.0,18.9,0
11.79,2.49,3.8,1,44.5,14.31,2.17,19.08,1,4,2,115.5,17.4,1
7.73,2.17,3.94,1,43.5,17.84,2.09,30.39,0,6,3,29.7,16.9,1
2.2,1.14,3.28,0,102.3,8.5,2.7,0.0,0,4,2,73.9,0.0,1
7.24,4.91,6.02,0,81.4,9.22,8.79,24.25,1,1,3,77.2,7.2,1
15.18,5.25,8.77,9,35.4,7.52,5.71,11.56,0,6,1,78.7,11.8,1
6.77,2.5,5.98,9,78.0,10.71,2.66,27.01,1,4,1,68.2,7.6,1
3.79,1.7,6.48,6,99.3,5.14,3.09,27.09,2,0,1,60.6,0.2,0
14.54,5.28,3.07,8,44.7,13.34,1.36,0.0,2,4,5,35.2,1.9,2
12.53,9.71,7.74,4,20.0,18.35,5.78,26.43,1,1,4,82.6,32.8,1
13.74,5.69,4.34,8,72.7,9.96,3.51,35.88,2,2,5,45.4,13.5,1
6.62,3.44,4.52,1,48.5,11.4,6.31,20.71,1,0,1,104.2,19.2,1
3.03,2.13,8.82,1,48.5,12.62,5.54,16.68,0,7,4,12.8,15.7,0
11.06,4.9,4.38,4,90.8,18.03,8.12,20.38,2,2,5,112.9,10.8,2
14.87,1.91,8.26,10,29.7,10.56,0.0,25.83,0,5,3,101.1,16.8,1
7.81,2.86,3.34,5,70.0,9.68,9.45,24.81,1,2,1,28.9,16.5,1
5.85,2.0,8.27,7,63.2,4.93,9.05,20.93,1,1,4,98.0,21.0,0
8.72,4.25,7.71,1,89.8,9.56,9.91,35.19,2,2,2,41.8,18.4,1
7.55,5.08,8.17,4,66.8,11.12,0.75,34.65,2,2,1,55.2,12.7,0
11.77,2.94,7.18,8,52.0,12.9,3.09,18.66,2,5,5,65.8,14.7,0
14.52,2.42,4.98,10,67.4,13.12,4.19,13.23,0,0,1,71.7,11.0,1
14.94,3.6,7.56,7,30.2,14.35,3.8,32.21,2,2,1,88.5,18.9,1
13.77,1.98,6.21,8,65.4,14.5,1.77,24.97,2,5,2,66.9,17.5,1
7.3,3.13,8.4,1,69.8,7.87,4.12,0.0,0,7,1,9.6,4.1,0
15.75,2.23,5.39,10,65.9,10.75,6.05,26.66,2,7,2,33.6,17.5,1
6.53,3.35,6.05,0,80.3,8.82,7.1,20.09,1,2,1,44.3,2.7,1
9.68,2.75,7.11,3,76.2,15.61,0.0,8.62,0,0,5,99.7,0.5,1
4.54,1.24,7.45,5,89.6,10.05,5.72,18.8,0,4,5,28.3,7.1,0
6.43,4.19,7.1,7,52.4,6.81,5.11,33.41,1,8,1,107.9,6.3,1
14.69,7.87,3.7,5,62.0,14.4,6.12,23.44,0,6,3,94.6,15.2,2
5.48,4.33,3.2,5,67.6,8.78,0.0,30.41,2,7,4,47.7,3.5,1
5.21,4.04,7.32,2,68.7,2.63,0.0,31.97,1,7,2,73.4,0.0,0
11.75,10.92,7.24,9,47.8,8.89,8.33,21.89,2,0,3,71.0,21.1,1
6.69,5.57,3.03,8,55.7,0.0,5.96,21.2,0,2,1,59.8,6.7,1
7.07,4.53,6.79,1,44.5,7.88,5.16,21.27,1,0,5,47.7,13.7,1
6.89,3.76,6.75,7,57.0,15.72,0.32,42.37,1,5,3,18.6,13.1,1
15.25,5.11,4.62,1,25.5,9.53,5.06,20.24,1,6,3,27.7,20.2,2
4.5,3.28,4.43,1,105.6,8.93,3.96,16.54,2,6,2,1.6,4.2,1
14.5,9.99,5.05,9,50.7,9.57,9.65,22.11,2,2,4,116.9,25.1,2
9.92,9.79,5.83,0,67.3,14.19,2.66,16.24,1,5,3,50.6,13.0,2
13.52,6.83,7.89,8,63.4,13.65,6.62,22.86,0,8,5,21.0,21.7,1
7.36,4.3,3.28,5,35.1,11.01,0.52,18.61,2,3,1,86.6,10.6,1
7.55,7.25,3.81,7,41.8,2.7,5.96,9.73,0,1,1,92.5,17.2,1
11.64,5.63,4.48,2,27.3,8.18,7.48,23.08,0,0,4,65.0,27.2,1
13.29,8.25,7.15,5,86.4,15.76,6.71,21.94,2,6,1,21.7,15.0,1
2.48,2.03,4.78,7,102.3,5.92,3.01,32.09,2,6,1,78.0,0.0,1
8.73,7.85,6.18,9,40.5,1.65,4.2,33.35,2,1,1,106.3,14.3,1
2.34,2.17,3.13,6,76.0,3.57,2.42,2.83,0,8,4,88.5,0.0,1
6.96,2.71,4.78,4,39.0,9.42,9.27,7.01,0,4,5,31.1,22.6,1
14.38,7.61,8.42,1,88.5,18.67,1.37,15.59,0,1,1,26.5,1.6,1
6.9,1.34,8.81,0,65.5,9.16,0.0,45.34,1,0,3,97.9,3.8,0
9.52,6.05,6.48,1,55.5,2.71,5.41,18.5,1,8,5,88.2,4.4,1
2.07,1.75,3.29,1,50.6,6.93,4.27,24.51,0,2,2,68.6,19.9,1
14.1,9.07,6.13,7,30.9,8.25,7.48,9.96,0,6,5,105.7,21.2,1
6.69,5.23,3.96,3,80.1,5.89,4.62,15.24,1,8,1,13.9,2.7,1
5.97,1.09,5.59,1,78.8,9.62,3.57,11.76,0,0,4,8.1,6.2,0
10.69,1.44,8.23,3,63.1,9.67,2.89,29.01,1,2,3,82.0,7.7,0
15.96,5.69,5.71,6,73.8,11.0,3.34,25.85,1,2,1,115.6,5.6,1
6.49,4.98,7.48,2,82.9,6.87,6.81,14.77,0,8,1,10.9,1.6,1
9.42,1.15,7.78,4,90.4,4.35,0.0,29.85,2,8,1,19.3,0.0,0
10.26,5.01,8.91,0,33.6,0.44,0.55,21.08,0,8,1,114.3,4.2,1
12.49,2.61,3.62,5,68.1,11.35,5.21,3.67,1,0,1,42.1,6.6,1
9.95,7.17,7.8,1,73.4,13.49,10.38,27.19,0,8,2,112.2,26.5,1
12.97,7.73,5.91,10,57.9,16.75,7.32,42.46,2,1,4,29.7,26.6,1
13.06,8.25,5.99,1,67.6,3.54,3.74,14.89,0,2,3,26.5,0.0,1
13.77,2.92,8.76,9,43.9,6.03,5.35,33.38,2,3,2,87.0,16.9,1
14.61,5.64,4.66,2,41.0,3.17,4.02,19.98,0,7,4,109.1,6.8,1
15.6,2.99,8.13,8,76.9,1.41,8.14,1.08,0,5,1,46.9,7.1,1
12.83,2.44,8.82,10,49.9,3.61,1.87,28.39,2,4,4,70.5,0.0,0
10.48,4.38,6.2,0,84.5,11.19,4.34,23.43,2,1,2,14.8,9.2,1
4.52,1.31,3.62,2,53.5,8.65,7.19,0.0,0,1,4,63.9,14.2,1
4.64,3.66,3.94,5,55.0,9.3,5.35,27.92,2,1,2,74.1,19.9,1
2.43,2.33,7.14,0,99.0,10.17,0.0,27.55,1,1,2,72.6,0.0,0
15.91,9.28,3.54,8,63.7,12.4,5.49,21.02,0,0,1,39.4,21.0,2
9.89,4.38,6.29,0,62.8,13.98,3.05,33.02,0,2,5,103.6,23.5,1
2.36,1.46,5.28,1,42.7,4.05,9.11,22.6,1,4,3,0.9,21.7,1
5.41,5.09,3.36,4,53.6,3.26,11.47,22.22,1,2,2,73.2,25.6,1
7.79,1.83,4.09,9,52.2,6.25,1.88,23.8,2,5,1,44.8,6.1,1
2.04,1.66,6.09,8,76.5,1.69,4.83,27.12,2,0,2,30.7,0.0,0
13.92,8.39,7.86,2,45.3,13.2,8.22,23.31,1,6,5,11.5,25.3,1
10.5,6.19,4.39,8,92.3,7.16,1.35,4.7,1,6,1,83.1,0.0,1
10.1,3.49,3.48,7,59.1,5.04,8.33,7.59,1,0,4,8.1,14.8,1
9.56,8.53,6.91,5,52.8,4.46,6.32,15.91,0,3,4,10.7,12.7,1
12.57,2.88,5.46,8,20.0,9.29,2.4,31.31,2,4,4,74.8,18.1,1
3.79,3.3,7.69,1,43.6,2.2,0.18,5.47,0,8,1,61.2,0.0,0
15.19,10.61,3.97,5,79.2,14.45,5.67,29.33,1,7,2,104.2,17.3,2
6.27,1.43,5.42,1,53.3,10.32,4.6,20.68,0,5,1,110.7,12.4,1
12.71,2.92,6.02,8,66.3,7.15,0.0,25.29,2,3,2,33.3,0.0,1
7.11,3.36,6.39,1,38.5,6.91,3.71,14.35,1,2,4,74.2,13.6,1
5.26,1.94,4.04,3,58.7,6.73,0.87,5.58,1,6,5,46.4,0.0,1
13.06,7.4,7.09,7,38.7,13.85,6.38,12.22,1,4,4,31.9,23.9,1
11.12,9.21,6.68,5,89.5,11.23,7.54,13.67,0,7,5,99.0,9.1,1
