screen_time_hours,work_hours,sleep_hours,break_frequency,typing_speed_wpm,backspace_rate,pause_frequency,app_switch_rate,usage_type,focus_session_count,hydration_level,physical_activity,sleep_quality,stress_level,work_life_balance,anxiety_level,motivation_level,peak_activity_hour,late_night_activity,social_screen_time,work_screen_time,detox_days_per_week,screen_free_hours,weekend_screen_increase,weekend_work_decrease,cognitive_load_score,burnout_level,work_intensity,screen_efficiency,sleep_deficit,sleep_quality_ratio,sleep_debt,typing_efficiency,cognitive_strain,focus_productivity,digital_balance,work_life_ratio,wellness_score,mental_health_index,stress_burnout_risk,night_owl_score,early_bird_score,social_work_ratio
7.85,7.46,8.2,6,56.3,3.29,1.15,0.0,0,5,4,64.4,7.1,2.9,9.6,1.0,8.2,9,0.9,2.32,5.53,1,5.9,1.3,4.6,15.1,0,1.0657142857142856,0.6955974842767296,0.0,0.71,-0.0,13.123543123543122,5.59,281.5,0.79,0.5065640561339972,5.48888888888889,8.933333333333332,4.245,0.225,7.1,0.41207815275310833
8.58,6.04,7.9,4,57.3,1.42,2.18,11.04,1,7,2,64.4,7.4,4.8,10.0,3.3,6.5,21,1.6,2.62,5.96,3,4.7,0.4,0.7,14.4,0,1.208,0.6866359447004609,0.09999999999999964,0.74,-0.0399999999999999,23.677685950413224,5.78,33.31395348837209,1.0699999999999998,0.40195208518189884,4.9222222222222225,7.733333333333333,5.29,0.4,0.0,0.4323432343234324
7.49,6.71,7.56,7,75.4,4.38,1.75,5.52,1,4,3,84.2,8.0,2.6,10.0,3.9,5.6,10,0.3,1.64,5.85,3,5.3,0.8,1.8,12.4,0,0.83875,0.7707509881422925,0.4400000000000004,0.8,-0.4400000000000004,14.014869888475838,7.88,46.25766871165645,1.1300000000000001,0.4462425182886277,6.0055555555555555,7.233333333333333,5.24,0.075,0.0,0.27563025210084036
7.15,6.92,8.7,3,80.1,2.65,3.85,17.39,0,6,3,55.8,5.4,3.7,10.0,1.4,8.8,20,1.0,0.77,6.38,1,2.8,1.6,3.0,18.6,0,1.73,0.88,0.0,0.54,0.0,21.945205479452053,10.35,26.133768352365415,0.48,0.48155880306193455,4.3500000000000005,9.133333333333333,7.025,0.25,0.0,0.11882716049382717
6.41,5.37,9.79,7,74.9,0.75,2.16,5.47,0,6,3,66.0,7.7,1.6,10.0,1.0,7.0,9,0.7,1.89,4.52,1,5.3,1.4,3.3,8.0,0,0.67125,0.6943164362519201,0.0,0.77,-0.0,42.800000000000004,5.07,69.45904173106646,0.73,0.4096109839816933,5.3999999999999995,8.666666666666666,3.335,0.175,7.7,0.4090909090909091
5.74,7.39,8.42,4,68.5,11.48,5.46,6.12,2,6,4,88.1,7.3,2.6,10.0,1.0,8.9,9,1.2,1.05,4.69,1,4.5,0.7,3.3,27.8,0,1.478,0.803082191780822,0.0,0.73,-0.0,5.488782051282051,22.400000000000002,57.7247191011236,0.65,0.5236801700720444,6.213888888888889,9.299999999999999,12.500000000000002,0.3,7.3,0.21920668058455114
7.51,6.64,7.37,4,89.2,3.84,1.23,11.03,2,4,2,47.5,8.9,3.7,9.3,1.2,8.0,10,0.4,1.54,5.97,3,2.7,0.8,3.1,7.8,0,1.3279999999999998,0.7844940867279895,0.6299999999999999,0.89,-1.197,18.429752066115704,6.3,29.659185369908563,0.8699999999999999,0.4192360307271388,4.952777777777778,8.700000000000001,5.0,0.1,0.0,0.2537067545304778
7.99,7.93,8.12,7,84.9,5.88,1.57,5.07,1,4,2,63.0,8.5,3.3,9.2,2.0,6.0,10,0.7,2.92,5.06,1,4.6,-1.7,5.3,8.1,0,0.99125,0.6254635352286774,0.0,0.85,-0.0,12.340116279069768,9.02,55.94728171334432,0.6599999999999999,0.5347269049224544,5.25,7.733333333333333,6.16,0.175,0.0,0.5658914728682172
7.23,7.44,7.62,7,78.5,4.99,0.0,10.21,0,7,3,55.5,8.9,2.2,9.2,3.1,8.7,14,0.5,2.09,5.14,2,3.4,0.6,2.8,7.4,0,0.93,0.7012278308321964,0.3799999999999999,0.89,-0.722,13.10517529215359,4.99,49.01873327386262,0.74,0.48139760595276615,5.508333333333333,8.266666666666666,3.595,0.125,0.0,0.3988549618320611
6.56,5.59,8.77,7,55.8,8.17,3.1,12.25,0,4,5,29.0,9.1,1.5,10.0,1.2,6.9,14,0.7,2.49,4.07,2,2.4,0.5,0.0,20.7,0,0.69875,0.6111111111111113,0.0,0.9099999999999999,-0.0,6.085059978189749,14.370000000000001,16.845283018867924,0.64,0.37906871609403253,5.5055555555555555,8.566666666666668,7.9350000000000005,0.175,0.0,0.5971223021582734
6.88,6.39,7.14,5,77.8,3.76,4.19,7.64,0,5,5,91.2,7.2,3.6,10.0,2.2,8.8,21,0.7,1.88,5.0,2,3.3,-1.4,0.5,10.2,0,1.065,0.7163323782234957,0.8600000000000003,0.72,-0.1720000000000002,16.34453781512605,12.14,45.023148148148145,0.73,0.4165580182529335,6.6000000000000005,8.866666666666667,7.87,0.175,0.0,0.3686274509803922
5.16,7.06,8.08,6,56.0,1.4,2.33,2.26,0,4,3,65.4,6.7,2.3,10.0,5.4,6.8,9,1.9,1.67,3.49,2,2.1,1.9,1.7,21.6,0,1.0085714285714285,0.6634980988593157,0.0,0.67,0.0,23.333333333333336,6.0600000000000005,68.71165644171779,0.61,0.47606203641267697,5.05,7.133333333333333,4.18,0.475,6.7,0.46518105849582164
6.14,5.7,7.32,4,85.7,9.63,5.65,10.01,1,5,4,79.5,7.8,2.0,10.0,4.3,8.5,9,0.1,0.79,5.35,1,3.9,-1.3,2.0,17.5,0,1.1400000000000001,0.8573717948717949,0.6799999999999997,0.78,-0.5439999999999997,8.062088428974599,20.93,38.91916439600364,0.5900000000000001,0.371214588082058,6.141666666666667,8.066666666666666,11.465,0.025,7.8,0.144954128440367
6.03,6.15,8.26,5,57.2,6.07,1.61,12.24,1,4,3,93.6,8.3,2.1,10.0,1.0,10.0,21,0.8,0.73,5.3,1,5.4,-1.9,0.9,19.4,0,1.0250000000000001,0.8646003262642741,0.0,0.8300000000000001,-0.0,8.09052333804809,9.290000000000001,17.280966767371602,0.74,0.4337094499294782,6.366666666666667,9.666666666666666,5.695,0.2,0.0,0.13518518518518519
5.75,7.16,8.73,7,60.6,3.77,4.97,19.56,1,7,5,39.9,7.6,3.7,10.0,1.0,9.7,14,1.5,2.13,3.62,2,4.0,-0.4,4.0,25.3,0,0.895,0.6188034188034188,0.0,0.76,-0.0,12.704402515723272,13.71,20.632295719844358,0.8,0.4902430674426566,5.308333333333333,9.566666666666666,8.705,0.375,0.0,0.5725806451612903
6.37,5.18,8.99,7,61.6,3.7,3.41,2.09,1,5,4,65.8,9.8,3.0,10.0,1.7,5.4,9,1.5,2.49,3.88,1,5.0,0.5,2.8,18.8,0,0.6475,0.5996908809891809,0.0,0.9800000000000001,-0.0,13.106382978723405,10.52,99.67637540453075,0.7,0.3723047436511739,6.427777777777778,7.900000000000001,6.76,0.375,9.8,0.6256281407035177
7.45,5.13,8.41,4,59.2,3.35,0.0,8.28,2,4,4,64.5,8.0,4.7,10.0,2.0,8.1,9,1.0,0.87,6.57,1,5.3,1.0,0.4,13.6,0,1.026,0.8701986754966888,0.0,0.8,-0.0,13.609195402298852,3.35,25.51724137931035,0.73,0.3534274888046848,5.791666666666667,8.700000000000001,4.025,0.25,8.0,0.13043478260869565
5.57,6.26,9.39,7,62.7,0.0,1.95,6.01,0,5,2,50.1,8.4,3.0,10.0,1.9,7.0,15,0.8,2.16,3.41,2,3.8,0.5,3.1,8.2,0,0.7825,0.6014109347442681,0.0,0.8400000000000001,-0.0,62.7,3.9000000000000004,44.72182596291013,0.78,0.4544464609800363,4.858333333333333,8.366666666666667,3.45,0.2,0.0,0.6153846153846154
6.81,4.4,7.15,4,68.1,3.15,5.87,11.38,1,6,4,28.1,8.7,4.8,10.0,1.1,8.0,20,1.2,2.45,4.36,1,2.7,-0.4,0.0,20.4,0,0.8800000000000001,0.6309696092619393,0.8499999999999996,0.8699999999999999,-1.4449999999999987,16.409638554216865,14.889999999999999,33.00484652665589,0.47000000000000003,0.2685929392613694,5.013888888888888,8.966666666666667,9.844999999999999,0.3,0.0,0.5493273542600897
6.83,6.7,8.49,6,68.0,5.34,6.1,7.18,1,7,5,71.9,8.3,1.4,10.0,3.8,8.3,10,0.5,2.24,4.6,2,3.4,-1.5,2.0,17.7,0,0.9571428571428572,0.6637806637806638,0.0,0.8300000000000001,-0.0,10.725552050473187,17.54,58.19070904645477,0.74,0.4681495283568185,6.430555555555556,8.166666666666666,9.469999999999999,0.125,0.0,0.4765957446808512
7.91,5.66,7.18,4,64.3,0.43,5.41,3.48,0,5,4,38.0,9.6,3.0,9.4,2.7,9.1,14,1.6,2.84,5.07,1,5.2,-0.2,0.3,15.0,0,1.1320000000000001,0.6329588014981274,0.8200000000000003,0.96,-2.1320000000000006,44.96503496503497,11.25,71.76339285714285,0.72,0.349670510708402,5.588888888888889,8.6,7.125,0.4,0.0,0.5493230174081237
8.0,4.52,7.38,5,59.8,4.88,1.2,14.26,2,5,3,49.4,8.1,4.5,10.0,1.1,7.6,10,0.7,2.08,5.92,2,5.6,-1.5,1.2,11.8,0,0.7533333333333333,0.7308641975308642,0.6200000000000001,0.8099999999999999,-0.6819999999999999,10.170068027210885,7.279999999999999,19.59370904325033,0.96,0.28613631567841313,5.072222222222222,8.833333333333334,5.89,0.175,0.0,0.345514950166113
7.11,5.39,8.49,4,69.6,4.44,2.9,2.2,1,4,4,20.0,8.5,2.4,10.0,1.4,7.6,9,1.4,0.78,6.33,2,3.8,0.1,2.4,19.3,0,1.0779999999999998,0.8779472954230236,0.0,0.85,-0.0,12.79411764705882,10.24,86.99999999999999,0.78,0.35515045025258074,4.722222222222222,8.733333333333333,6.32,0.35,8.5,0.12130637636080872
8.21,5.67,8.17,5,65.5,3.05,2.03,10.87,2,6,4,95.9,6.6,3.1,10.0,1.9,8.8,10,1.8,2.05,6.16,2,4.4,-1.1,3.3,18.2,0,0.945,0.7412755716004813,0.0,0.6599999999999999,0.0,16.17283950617284,7.109999999999999,33.10867733782646,0.8400000000000001,0.39840730764726545,6.197222222222223,8.966666666666667,5.1049999999999995,0.45,0.0,0.3274760383386581
7.43,6.52,7.41,4,67.9,4.55,2.19,19.99,0,5,5,48.3,7.5,3.0,9.4,2.4,7.9,14,1.0,2.1,5.33,2,4.3,-1.4,2.6,13.8,0,1.3039999999999998,0.7078353253652059,0.5899999999999999,0.75,-0.29499999999999993,12.234234234234236,8.93,16.174368747022392,0.8300000000000001,0.41305036426987646,5.508333333333333,8.299999999999999,5.965,0.25,0.0,0.3867403314917127
8.38,4.32,8.7,4,75.7,6.63,5.07,8.63,1,5,4,50.0,8.5,2.4,10.0,4.9,8.8,20,1.9,2.96,5.43,3,5.2,-1.2,1.7,16.5,0,0.8640000000000001,0.6403301886792452,0.0,0.85,-0.0,9.921363040629096,16.77,39.30425752855659,1.1199999999999999,0.29861751152073734,5.555555555555556,7.966666666666666,9.584999999999999,0.475,0.0,0.5352622061482821
7.62,5.32,8.15,3,67.7,4.96,5.11,10.91,0,5,4,38.2,8.2,4.7,10.0,1.0,10.0,14,1.1,1.03,6.59,2,3.3,0.9,0.5,21.5,0,1.33,0.8536269430051814,0.0,0.82,-0.0,11.359060402684564,15.18,28.421494542401344,0.73,0.34969325153374237,5.127777777777777,9.666666666666666,9.94,0.275,0.0,0.1539611360239163
5.03,6.64,8.22,8,101.0,2.68,0.51,9.44,0,6,4,26.4,7.0,1.9,10.0,1.1,9.1,15,1.0,1.12,3.91,1,4.9,0.6,1.9,0.8,0,0.7377777777777778,0.7621832358674464,0.0,0.7,0.0,27.445652173913043,3.7,58.04597701149426,0.6900000000000001,0.43285528031290743,4.3999999999999995,9.333333333333334,2.8,0.25,0.0,0.27930174563591026
5.3,6.51,8.45,6,87.5,4.73,4.56,6.86,0,5,3,50.5,8.2,3.9,10.0,3.4,6.4,15,1.4,0.77,4.53,3,4.4,-0.3,1.6,9.2,0,0.9299999999999999,0.838888888888889,0.0,0.82,-0.0,15.270506108202442,13.85,55.661577608142494,1.04,0.44260623229461754,5.13611111111111,7.666666666666667,8.875,0.35,0.0,0.16630669546436286
7.14,6.23,7.41,3,56.7,4.43,3.63,0.0,2,4,3,81.6,8.8,2.0,10.0,1.0,6.5,10,0.8,1.46,5.68,2,3.9,1.7,1.9,18.5,0,1.5575,0.7845303867403315,0.5899999999999999,0.8800000000000001,-1.062,10.441988950276244,11.69,226.8,0.79,0.4090610636900854,6.2,8.5,6.845,0.2,0.0,0.2525951557093426
4.45,5.83,8.17,5,50.0,2.86,3.21,11.17,1,5,5,48.7,6.6,1.4,10.0,1.0,7.5,10,0.6,1.51,2.93,2,2.8,-1.2,3.7,21.1,0,0.9716666666666667,0.643956043956044,0.0,0.6599999999999999,0.0,12.953367875647668,9.28,20.542317173377157,0.6799999999999999,0.38819220952169575,5.219444444444444,8.833333333333334,5.34,0.15,0.0,0.49834983498349833
5.23,7.51,7.54,6,62.4,0.0,5.02,12.5,0,4,2,55.2,8.5,3.3,9.8,1.4,9.1,14,0.1,1.56,3.67,1,4.2,-1.0,4.7,19.6,0,1.0728571428571427,0.6885553470919324,0.45999999999999996,0.85,-0.69,62.4,10.04,18.488888888888887,0.62,0.4832689832689832,5.033333333333334,9.166666666666666,6.67,0.025,0.0,0.41379310344827586
5.19,6.34,8.41,7,84.2,1.28,1.37,8.35,2,5,3,83.7,8.7,1.6,10.0,1.0,9.4,9,1.3,0.71,4.48,3,4.3,-0.3,0.8,3.7,0,0.7925,0.8468809073724008,0.0,0.8699999999999999,-0.0,36.92982456140351,4.0200000000000005,45.02673796791444,1.03,0.4466361394857344,6.2250000000000005,9.466666666666667,2.8100000000000005,0.325,8.7,0.15502183406113537
